customer_id,gender,age,city
CUST0001,Male,19,Hyderabad
CUST0002,Female,32,Bangalore
CUST0003,Female,69,Mumbai
CUST0004,Female,23,Hyderabad
CUST0005,Male,52,Delhi
CUST0006,Female,43,Kolkata
CUST0007,Female,65,Kolkata
CUST0008,Male,42,Mumbai
CUST0009,Female,18,Pune
CUST0010,Male,56,Pune
CUST0011,Male,26,Bangalore
CUST0012,Female,51,Delhi
CUST0013,Male,35,Chennai
CUST0014,Female,45,Chennai
CUST0015,Male,35,Mumbai
CUST0016,Female,49,Pune
CUST0017,Female,27,Kolkata
CUST0018,Male,29,Bangalore
CUST0019,Male,60,Delhi
CUST0020,Male,52,Hyderabad
CUST0021,Male,60,Mumbai
CUST0022,Female,31,Bangalore
CUST0023,Male,65,Pune
CUST0024,Male,40,Delhi
CUST0025,Male,65,Pune
CUST0026,Female,40,Pune
CUST0027,Female,19,Kolkata
CUST0028,Male,34,Bangalore
CUST0029,Female,60,Hyderabad
CUST0030,Male,57,Chennai
CUST0031,Male,60,Kolkata
CUST0032,Male,47,Pune
CUST0033,Female,32,Chennai
CUST0034,Female,53,Hyderabad
CUST0035,Female,33,Chennai
CUST0036,Male,31,Chennai
CUST0037,Female,52,Kolkata
CUST0038,Male,43,Pune
CUST0039,Female,34,Delhi
CUST0040,Male,33,Delhi
CUST0041,Male,37,Kolkata
CUST0042,Male,68,Chennai
CUST0043,Male,45,Bangalore
CUST0044,Female,33,Bangalore
CUST0045,Male,51,Bangalore
CUST0046,Female,48,Hyderabad
CUST0047,Male,30,Bangalore
CUST0048,Male,21,Bangalore
CUST0049,Female,25,Chennai
CUST0050,Male,67,Hyderabad
CUST0051,Male,28,Bangalore
CUST0052,Male,45,Bangalore
CUST0053,Female,25,Kolkata
CUST0054,Female,19,Mumbai
CUST0055,Female,58,Kolkata
CUST0056,Male,47,Mumbai
CUST0057,Female,57,Hyderabad
CUST0058,Male,37,Bangalore
CUST0059,Female,48,Delhi
CUST0060,Female,64,Pune
CUST0061,Male,62,Mumbai
CUST0062,Female,20,Chennai
CUST0063,Female,39,Hyderabad
CUST0064,Female,32,Bangalore
CUST0065,Female,27,Hyderabad
CUST0066,Female,47,Pune
CUST0067,Female,30,Hyderabad
CUST0068,Male,56,Pune
CUST0069,Male,58,Mumbai
CUST0070,Male,68,Pune
CUST0071,Male,47,Hyderabad
CUST0072,Female,55,Hyderabad
CUST0073,Female,62,Hyderabad
CUST0074,Female,55,Hyderabad
CUST0075,Female,52,Delhi
CUST0076,Male,68,Delhi
CUST0077,Female,27,Mumbai
CUST0078,Female,51,Bangalore
CUST0079,Female,59,Kolkata
CUST0080,Female,42,Delhi
CUST0081,Female,45,Kolkata
CUST0082,Male,55,Chennai
CUST0083,Male,24,Bangalore
CUST0084,Male,29,Delhi
CUST0085,Male,42,Chennai
CUST0086,Female,44,Kolkata
CUST0087,Male,18,Kolkata
CUST0088,Female,22,Mumbai
CUST0089,Female,62,Hyderabad
CUST0090,Male,51,Mumbai
CUST0091,Female,47,Bangalore
CUST0092,Male,37,Delhi
CUST0093,Female,69,Delhi
CUST0094,Male,63,Bangalore
CUST0095,Male,39,Mumbai
CUST0096,Male,37,Chennai
CUST0097,Male,32,Kolkata
CUST0098,Male,64,Chennai
CUST0099,Male,41,Bangalore
CUST0100,Male,63,Bangalore
CUST0101,Male,44,Mumbai
CUST0102,Male,36,Kolkata
CUST0103,Female,25,Mumbai
CUST0104,Female,45,Pune
CUST0105,Female,20,Delhi
CUST0106,Female,52,Mumbai
CUST0107,Male,68,Hyderabad
CUST0108,Female,35,Delhi
CUST0109,Female,23,Chennai
CUST0110,Female,46,Pune
CUST0111,Male,19,Hyderabad
CUST0112,Female,41,Kolkata
CUST0113,Male,34,Pune
CUST0114,Female,60,Mumbai
CUST0115,Male,33,Delhi
CUST0116,Male,38,Mumbai
CUST0117,Female,63,Kolkata
CUST0118,Male,55,Hyderabad
CUST0119,Female,59,Delhi
CUST0120,Male,28,Kolkata
CUST0121,Male,38,Bangalore
CUST0122,Female,30,Delhi
CUST0123,Male,36,Chennai
CUST0124,Male,54,Bangalore
CUST0125,Female,66,Mumbai
CUST0126,Female,57,Bangalore
CUST0127,Female,61,Hyderabad
CUST0128,Female,27,Pune
CUST0129,Male,63,Hyderabad
CUST0130,Female,57,Pune
CUST0131,Female,36,Chennai
CUST0132,Female,65,Hyderabad
CUST0133,Male,21,Chennai
CUST0134,Male,66,Mumbai
CUST0135,Female,29,Hyderabad
CUST0136,Female,26,Pune
CUST0137,Male,29,Bangalore
CUST0138,Female,37,Hyderabad
CUST0139,Male,58,Kolkata
CUST0140,Male,66,Kolkata
CUST0141,Male,28,Delhi
CUST0142,Female,61,Chennai
CUST0143,Male,36,Kolkata
CUST0144,Male,59,Chennai
CUST0145,Male,33,Mumbai
CUST0146,Male,22,Mumbai
CUST0147,Female,32,Kolkata
CUST0148,Male,58,Pune
CUST0149,Male,37,Delhi
CUST0150,Male,21,Bangalore
CUST0151,Male,31,Bangalore
CUST0152,Female,47,Bangalore
CUST0153,Female,20,Hyderabad
CUST0154,Female,34,Delhi
CUST0155,Male,22,Kolkata
CUST0156,Female,60,Mumbai
CUST0157,Male,24,Bangalore
CUST0158,Male,59,Delhi
CUST0159,Male,32,Pune
CUST0160,Female,19,Hyderabad
CUST0161,Male,68,Pune
CUST0162,Female,49,Hyderabad
CUST0163,Male,65,Kolkata
CUST0164,Female,24,Mumbai
CUST0165,Male,61,Mumbai
CUST0166,Female,56,Hyderabad
CUST0167,Male,37,Bangalore
CUST0168,Female,41,Chennai
CUST0169,Female,62,Kolkata
CUST0170,Female,55,Mumbai
CUST0171,Female,28,Kolkata
CUST0172,Male,46,Hyderabad
CUST0173,Male,40,Delhi
CUST0174,Male,39,Pune
CUST0175,Female,58,Delhi
CUST0176,Male,69,Pune
CUST0177,Female,57,Chennai
CUST0178,Male,54,Delhi
CUST0179,Female,26,Pune
CUST0180,Male,36,Kolkata
CUST0181,Male,66,Delhi
CUST0182,Male,31,Hyderabad
CUST0183,Female,36,Mumbai
CUST0184,Male,33,Pune
CUST0185,Male,43,Bangalore
CUST0186,Male,68,Bangalore
CUST0187,Male,20,Hyderabad
CUST0188,Female,28,Mumbai
CUST0189,Female,22,Delhi
CUST0190,Male,24,Mumbai
CUST0191,Female,57,Kolkata
CUST0192,Female,67,Kolkata
CUST0193,Male,51,Delhi
CUST0194,Male,34,Delhi
CUST0195,Male,69,Chennai
CUST0196,Male,37,Bangalore
CUST0197,Male,67,Bangalore
CUST0198,Male,54,Pune
CUST0199,Female,32,Chennai
CUST0200,Male,47,Chennai
CUST0201,Male,64,Pune
CUST0202,Female,24,Bangalore
CUST0203,Female,65,Pune
CUST0204,Female,62,Delhi
CUST0205,Female,67,Hyderabad
CUST0206,Male,40,Pune
CUST0207,Male,25,Delhi
CUST0208,Male,30,Chennai
CUST0209,Male,42,Chennai
CUST0210,Male,23,Kolkata
CUST0211,Female,42,Delhi
CUST0212,Male,60,Pune
CUST0213,Male,29,Chennai
CUST0214,Female,29,Pune
CUST0215,Female,21,Mumbai
CUST0216,Female,68,Bangalore
CUST0217,Female,26,Kolkata
CUST0218,Male,58,Bangalore
CUST0219,Female,18,Chennai
CUST0220,Female,52,Delhi
CUST0221,Female,28,Kolkata
CUST0222,Female,28,Bangalore
CUST0223,Male,45,Pune
CUST0224,Female,48,Mumbai
CUST0225,Female,54,Kolkata
CUST0226,Female,54,Delhi
CUST0227,Female,29,Pune
CUST0228,Male,23,Kolkata
CUST0229,Male,24,Kolkata
CUST0230,Female,20,Hyderabad
CUST0231,Male,32,Hyderabad
CUST0232,Female,66,Mumbai
CUST0233,Male,30,Delhi
CUST0234,Male,41,Kolkata
CUST0235,Male,32,Pune
CUST0236,Female,63,Pune
CUST0237,Female,53,Delhi
CUST0238,Female,60,Bangalore
CUST0239,Male,61,Delhi
CUST0240,Female,26,Chennai
CUST0241,Female,41,Delhi
CUST0242,Male,26,Hyderabad
CUST0243,Male,18,Chennai
CUST0244,Female,18,Mumbai
CUST0245,Male,62,Chennai
CUST0246,Male,39,Delhi
CUST0247,Male,25,Chennai
CUST0248,Female,42,Pune
CUST0249,Male,50,Chennai
CUST0250,Male,62,Hyderabad
CUST0251,Male,47,Delhi
CUST0252,Male,26,Chennai
CUST0253,Female,42,Kolkata
CUST0254,Female,29,Delhi
CUST0255,Male,60,Kolkata
CUST0256,Male,18,Hyderabad
CUST0257,Female,43,Delhi
CUST0258,Male,70,Pune
CUST0259,Female,63,Mumbai
CUST0260,Female,26,Pune
CUST0261,Male,67,Mumbai
CUST0262,Male,64,Chennai
CUST0263,Male,26,Hyderabad
CUST0264,Male,50,Pune
CUST0265,Female,69,Pune
CUST0266,Female,31,Chennai
CUST0267,Female,53,Pune
CUST0268,Male,36,Delhi
CUST0269,Female,47,Mumbai
CUST0270,Male,68,Kolkata
CUST0271,Female,53,Kolkata
CUST0272,Female,50,Hyderabad
CUST0273,Male,31,Mumbai
CUST0274,Female,53,Hyderabad
CUST0275,Male,66,Chennai
CUST0276,Female,70,Mumbai
CUST0277,Male,20,Mumbai
CUST0278,Male,29,Bangalore
CUST0279,Female,26,Pune
CUST0280,Female,45,Bangalore
CUST0281,Female,53,Hyderabad
CUST0282,Male,70,Bangalore
CUST0283,Male,47,Mumbai
CUST0284,Female,40,Delhi
CUST0285,Female,24,Kolkata
CUST0286,Female,40,Hyderabad
CUST0287,Male,60,Mumbai
CUST0288,Male,58,Pune
CUST0289,Female,23,Hyderabad
CUST0290,Female,47,Pune
CUST0291,Male,23,Chennai
CUST0292,Female,40,Kolkata
CUST0293,Male,51,Kolkata
CUST0294,Female,61,Chennai
CUST0295,Male,60,Delhi
CUST0296,Male,42,Chennai
CUST0297,Female,63,Kolkata
CUST0298,Male,57,Delhi
CUST0299,Male,23,Chennai
CUST0300,Male,34,Hyderabad
CUST0301,Female,42,Pune
CUST0302,Male,61,Bangalore
CUST0303,Male,54,Mumbai
CUST0304,Male,57,Chennai
CUST0305,Female,57,Delhi
CUST0306,Female,48,Chennai
CUST0307,Male,38,Pune
CUST0308,Female,41,Hyderabad
CUST0309,Male,48,Kolkata
CUST0310,Male,43,Bangalore
CUST0311,Male,44,Kolkata
CUST0312,Female,47,Mumbai
CUST0313,Female,38,Hyderabad
CUST0314,Male,60,Pune
CUST0315,Male,24,Mumbai
CUST0316,Male,20,Hyderabad
CUST0317,Female,51,Pune
CUST0318,Male,40,Pune
CUST0319,Male,53,Kolkata
CUST0320,Female,36,Delhi
CUST0321,Male,21,Pune
CUST0322,Female,41,Pune
CUST0323,Female,18,Mumbai
CUST0324,Female,42,Delhi
CUST0325,Male,58,Mumbai
CUST0326,Female,67,Kolkata
CUST0327,Female,69,Kolkata
CUST0328,Male,52,Kolkata
CUST0329,Female,64,Pune
CUST0330,Male,57,Kolkata
CUST0331,Female,60,Chennai
CUST0332,Male,41,Delhi
CUST0333,Male,52,Delhi
CUST0334,Male,68,Pune
CUST0335,Female,56,Delhi
CUST0336,Male,37,Bangalore
CUST0337,Female,55,Kolkata
CUST0338,Male,56,Hyderabad
CUST0339,Male,58,Pune
CUST0340,Male,32,Hyderabad
CUST0341,Male,66,Hyderabad
CUST0342,Female,45,Mumbai
CUST0343,Male,61,Chennai
CUST0344,Female,19,Bangalore
CUST0345,Male,21,Hyderabad
CUST0346,Female,32,Hyderabad
CUST0347,Male,20,Pune
CUST0348,Male,58,Hyderabad
CUST0349,Male,44,Mumbai
CUST0350,Female,62,Delhi
CUST0351,Male,38,Delhi
CUST0352,Female,56,Chennai
CUST0353,Female,26,Chennai
CUST0354,Female,62,Kolkata
CUST0355,Male,46,Delhi
CUST0356,Male,36,Hyderabad
CUST0357,Female,23,Hyderabad
CUST0358,Male,47,Delhi
CUST0359,Female,64,Delhi
CUST0360,Female,37,Pune
CUST0361,Female,52,Kolkata
CUST0362,Male,21,Kolkata
CUST0363,Male,47,Pune
CUST0364,Female,39,Pune
CUST0365,Female,45,Bangalore
CUST0366,Male,18,Hyderabad
CUST0367,Female,34,Hyderabad
CUST0368,Female,48,Bangalore
CUST0369,Male,31,Chennai
CUST0370,Male,56,Kolkata
CUST0371,Female,29,Pune
CUST0372,Female,67,Pune
CUST0373,Male,39,Bangalore
CUST0374,Female,60,Mumbai
CUST0375,Male,22,Hyderabad
CUST0376,Female,57,Pune
CUST0377,Female,48,Delhi
CUST0378,Male,48,Kolkata
CUST0379,Female,43,Kolkata
CUST0380,Male,29,Delhi
CUST0381,Female,38,Mumbai
CUST0382,Male,61,Bangalore
CUST0383,Male,18,Mumbai
CUST0384,Male,48,Hyderabad
CUST0385,Female,60,Pune
CUST0386,Female,42,Chennai
CUST0387,Female,25,Hyderabad
CUST0388,Male,61,Pune
CUST0389,Female,36,Delhi
CUST0390,Female,49,Kolkata
