customer_id,payment_method,monthly_charges,total_charges
CUST0001,Electronic check,23.18,
CUST0002,Credit card,54.03,3099.29
CUST0003,Mailed check,57.85,352.3
CUST0004,Electronic check,57.02,1681.55
CUST0005,Electronic check,84.0,2693.69
CUST0006,Credit card,85.54,2983.46
CUST0007,Electronic check,29.09,1554.66
CUST0008,Mailed check,88.17,4324.03
CUST0009,Bank transfer,104.17,3542.55
CUST0010,Electronic check,25.79,1120.98
CUST0011,Electronic check,112.89,6911.82
CUST0012,Electronic check,20.72,1222.54
CUST0013,Electronic check,77.1,4854.57
CUST0014,Bank transfer,60.26,3177.71
CUST0015,Credit card,85.21,5116.66
CUST0016,Mailed check,118.53,7325.38
CUST0017,Credit card,25.72,651.42
CUST0018,Bank transfer,77.89,654.98
CUST0019,Electronic check,51.62,2141.61
CUST0020,Electronic check,56.95,1560.37
CUST0021,Bank transfer,33.43,2335.07
CUST0022,Electronic check,25.08,866.15
CUST0023,Mailed check,74.56,4283.38
CUST0024,Bank transfer,112.58,3013.33
CUST0025,Mailed check,35.92,1564.69
CUST0026,Credit card,52.83,2149.64
CUST0027,Electronic check,30.84,456.06
CUST0028,Electronic check,73.85,465.04
CUST0029,Electronic check,60.24,943.41
CUST0030,Credit card,98.58,3855.29
CUST0031,Bank transfer,87.28,
CUST0032,Mailed check,59.97,3203.14
CUST0033,Bank transfer,65.65,1540.09
CUST0034,Bank transfer,103.99,6009.15
CUST0035,Credit card,58.3,2005.78
CUST0036,Bank transfer,21.95,1223.37
CUST0037,Credit card,68.56,4788.09
CUST0038,Mailed check,46.02,166.82
CUST0039,Bank transfer,85.01,963.23
CUST0040,Electronic check,66.5,1106.12
CUST0041,Credit card,114.15,1567.93
CUST0042,Mailed check,104.96,661.99
CUST0043,Credit card,63.56,1484.98
CUST0044,Bank transfer,38.18,2262.01
CUST0045,Bank transfer,84.59,2113.83
CUST0046,Mailed check,90.29,6387.68
CUST0047,Electronic check,103.26,
CUST0048,Credit card,107.27,7623.58
CUST0049,Electronic check,34.92,320.56
CUST0050,Credit card,76.86,5105.64
CUST0051,Electronic check,49.13,1496.18
CUST0052,Bank transfer,102.66,1497.04
CUST0053,Bank transfer,70.05,4202.38
CUST0054,Bank transfer,77.62,957.75
CUST0055,Mailed check,105.77,6646.49
CUST0056,Electronic check,60.42,726.5
CUST0057,Bank transfer,63.81,4103.67
CUST0058,Mailed check,114.71,8159.18
CUST0059,Mailed check,47.62,2933.82
CUST0060,Mailed check,73.86,2865.05
CUST0061,Electronic check,94.47,2949.09
CUST0062,Mailed check,72.6,1229.89
CUST0063,Credit card,82.68,
CUST0064,Electronic check,36.64,419.63
CUST0065,Mailed check,27.9,929.88
CUST0066,Credit card,27.39,948.39
CUST0067,Electronic check,119.27,5943.02
CUST0068,Credit card,41.9,2650.61
CUST0069,Bank transfer,77.96,1036.72
CUST0070,Electronic check,45.7,3231.47
CUST0071,Credit card,29.03,279.76
CUST0072,Credit card,22.5,1140.92
CUST0073,Electronic check,119.59,4625.62
CUST0074,Bank transfer,23.27,452.45
CUST0075,Electronic check,114.9,5317.82
CUST0076,Electronic check,78.64,3412.83
CUST0077,Bank transfer,21.49,
CUST0078,Mailed check,70.38,1100.24
CUST0079,Mailed check,91.24,359.32
CUST0080,Mailed check,63.01,4323.49
CUST0081,Electronic check,29.12,1152.46
CUST0082,Bank transfer,116.84,8422.52
CUST0083,Electronic check,104.52,4750.85
CUST0084,Electronic check,106.99,3751.28
CUST0085,Electronic check,108.33,5815.38
CUST0086,Mailed check,87.82,
CUST0087,Electronic check,52.81,1376.64
CUST0088,Electronic check,77.58,3963.92
CUST0089,Credit card,59.58,2781.29
CUST0090,Bank transfer,30.28,1974.08
CUST0091,Credit card,35.1,1992.63
CUST0092,Electronic check,81.5,4890.71
CUST0093,Mailed check,30.35,798.66
CUST0094,Mailed check,111.79,6360.77
CUST0095,Electronic check,28.15,382.31
CUST0096,Bank transfer,70.85,5053.02
CUST0097,Electronic check,107.64,1949.32
CUST0098,Electronic check,95.24,5457.06
CUST0099,Electronic check,101.69,5826.46
CUST0100,Electronic check,110.53,7370.24
CUST0101,Electronic check,42.45,279.02
CUST0102,Electronic check,110.59,6697.89
CUST0103,Electronic check,31.09,1190.84
CUST0104,,26.77,29.38
CUST0105,Electronic check,44.11,2221.21
CUST0106,Electronic check,83.17,3690.63
CUST0107,Electronic check,45.33,1203.91
CUST0108,Mailed check,53.9,831.08
CUST0109,Credit card,28.01,1584.65
CUST0110,Credit card,83.95,532.85
CUST0111,Bank transfer,43.6,842.92
CUST0112,Electronic check,51.44,2446.99
CUST0113,Electronic check,32.26,1132.12
CUST0114,Mailed check,91.18,4145.83
CUST0115,Mailed check,26.57,1690.3
CUST0116,Bank transfer,63.26,673.67
CUST0117,Credit card,39.63,1194.91
CUST0118,Bank transfer,53.76,
CUST0119,Mailed check,84.19,2253.34
CUST0120,Mailed check,106.15,6032.48
CUST0121,Electronic check,49.02,1508.03
CUST0122,Mailed check,22.32,513.24
CUST0123,Credit card,104.72,6695.17
CUST0124,Mailed check,102.53,7394.48
CUST0125,Mailed check,33.7,623.6
CUST0126,Credit card,70.73,2900.9
CUST0127,Mailed check,46.55,713.81
CUST0128,Credit card,51.37,1608.98
CUST0129,Mailed check,67.84,1208.8
CUST0130,Electronic check,97.12,6041.93
CUST0131,Mailed check,115.46,1877.82
CUST0132,Credit card,30.92,1941.13
CUST0133,Bank transfer,116.45,1561.64
CUST0134,Bank transfer,28.95,1078.56
CUST0135,Electronic check,20.93,111.45
CUST0136,Electronic check,84.83,5535.81
CUST0137,Mailed check,118.17,6142.59
CUST0138,Electronic check,50.68,91.9
CUST0139,Electronic check,67.82,2572.66
CUST0140,Mailed check,27.81,896.34
CUST0141,Mailed check,109.89,4609.93
CUST0142,Electronic check,24.53,965.65
CUST0143,Electronic check,119.29,6310.62
CUST0144,Credit card,103.48,4682.22
CUST0145,Electronic check,92.5,5418.78
CUST0146,Mailed check,94.05,1212.88
CUST0147,Bank transfer,107.63,4461.4
CUST0148,Electronic check,89.63,4920.48
CUST0149,Credit card,58.84,1093.46
CUST0150,Bank transfer,100.47,3525.21
CUST0151,Electronic check,67.89,1671.51
CUST0152,Electronic check,29.86,2108.47
CUST0153,Electronic check,35.24,1004.95
CUST0154,Bank transfer,36.93,2348.62
CUST0155,Mailed check,90.72,585.95
CUST0156,Mailed check,73.57,4613.58
CUST0157,Electronic check,99.49,6723.22
CUST0158,Electronic check,90.28,409.67
CUST0159,Bank transfer,112.42,3166.2
CUST0160,Bank transfer,49.93,1354.51
CUST0161,Credit card,103.87,1126.63
