customer_id,tenure_months,contract_type,internet_service,online_security,tech_support,join_date,churn
CUST0001,36,Month-to-month,DSL,Yes,No,2023-04-22,Yes
CUST0002,58,Month-to-month,DSL,Yes,No,2023-11-21,Yes
CUST0003,6,One year,,No,No,2024-01-11,No
CUST0004,30,Two year,DSL,No,Yes,2023-07-01,No
CUST0005,32,Month-to-month,,No,No,2023-10-27,No
CUST0006,35,Month-to-month,Fiber optic,No,Yes,2024-07-28,Yes
CUST0007,55,Two year,DSL,Yes,No,2022-08-13,Yes
CUST0008,49,Month-to-month,DSL,Yes,Yes,2023-07-01,No
CUST0009,34,Two year,Fiber optic,Yes,No,2023-02-12,Yes
CUST0010,42,Month-to-month,DSL,No,Yes,2022-06-11,Yes
CUST0011,61,Two year,Fiber optic,No,Yes,2023-02-16,No
CUST0012,58,Month-to-month,DSL,Yes,Yes,2022-05-01,Yes
CUST0013,63,Month-to-month,,No,No,2024-08-26,No
CUST0014,53,Month-to-month,Fiber optic,Yes,Yes,2022-08-12,Yes
CUST0015,60,Month-to-month,DSL,Yes,Yes,2022-01-31,No
CUST0016,62,Month-to-month,DSL,No,Yes,2024-07-20,Yes
CUST0017,25,Month-to-month,Fiber optic,Yes,No,2024-10-26,No
CUST0018,9,Month-to-month,DSL,Yes,Yes,2022-06-17,Yes
CUST0019,41,Month-to-month,Fiber optic,No,No,2022-05-29,Yes
CUST0020,28,Month-to-month,DSL,Yes,Yes,2025-01-17,No
CUST0021,71,Month-to-month,,No,No,2022-08-08,No
CUST0022,34,Month-to-month,,No,No,2023-07-21,Yes
CUST0023,57,Month-to-month,DSL,Yes,Yes,2025-02-05,Yes
CUST0024,27,One year,DSL,No,Yes,2022-11-29,No
CUST0025,43,One year,Fiber optic,Yes,No,2024-02-23,No
CUST0026,40,One year,DSL,Yes,No,2023-07-26,No
CUST0027,15,Two year,Fiber optic,No,Yes,2023-10-05,Yes
CUST0028,6,One year,,No,No,2023-02-08,Yes
CUST0029,16,One year,DSL,No,No,2022-09-18,Yes
CUST0030,39,Month-to-month,DSL,Yes,No,2023-10-22,Yes
CUST0031,11,Month-to-month,Fiber optic,Yes,Yes,2023-02-12,Yes
CUST0032,54,Two year,Fiber optic,No,No,2022-01-12,No
CUST0033,23,One year,DSL,Yes,Yes,2024-12-23,No
CUST0034,58,Two year,DSL,No,Yes,2024-12-03,No
CUST0035,35,Month-to-month,DSL,Yes,Yes,2023-03-15,Yes
CUST0036,54,Month-to-month,,No,No,2024-02-19,Yes
CUST0037,70,One year,DSL,No,No,2024-04-08,No
CUST0038,4,Month-to-month,Fiber optic,Yes,Yes,2024-07-20,Yes
CUST0039,11,Month-to-month,DSL,No,Yes,2022-03-24,Yes
CUST0040,17,Month-to-month,,No,No,2024-01-26,Yes
CUST0041,14,Month-to-month,Fiber optic,No,No,2023-05-13,Yes
CUST0042,6,Month-to-month,DSL,No,Yes,2022-08-05,Yes
CUST0043,23,One year,DSL,No,No,2023-07-04,No
CUST0044,60,Month-to-month,DSL,No,No,2023-06-14,Yes
CUST0045,25,Month-to-month,DSL,Yes,No,2022-02-05,Yes
CUST0046,71,Month-to-month,Fiber optic,No,No,2023-05-30,Yes
CUST0047,28,One year,Fiber optic,No,Yes,2024-01-10,Yes
CUST0048,71,Month-to-month,Fiber optic,No,Yes,2024-08-19,Yes
CUST0049,9,Month-to-month,Fiber optic,Yes,Yes,2023-09-15,Yes
CUST0050,67,Month-to-month,DSL,No,No,2022-07-23,No
CUST0051,31,Month-to-month,DSL,No,No,2023-08-03,Yes
CUST0052,15,Month-to-month,,No,No,2022-12-06,No
CUST0053,60,One year,,No,No,2022-06-14,No
CUST0054,12,Month-to-month,Fiber optic,Yes,No,2022-12-25,Yes
CUST0055,63,Two year,DSL,No,Yes,2024-10-11,Yes
CUST0056,12,Month-to-month,,No,No,2022-01-03,Yes
CUST0057,64,One year,DSL,Yes,No,2022-09-06,Yes
CUST0058,71,Month-to-month,DSL,Yes,No,2022-11-12,Yes
CUST0059,61,Month-to-month,DSL,Yes,Yes,2024-04-29,Yes
CUST0060,39,One year,Fiber optic,Yes,No,2025-02-04,No
CUST0061,31,Month-to-month,Fiber optic,Yes,No,2024-02-20,Yes
CUST0062,17,Month-to-month,Fiber optic,No,Yes,2022-10-23,Yes
CUST0063,51,One year,Fiber optic,No,No,2024-09-26,No
CUST0064,12,Month-to-month,Fiber optic,Yes,No,2022-03-01,Yes
CUST0065,32,Month-to-month,Fiber optic,Yes,Yes,2023-05-09,Yes
CUST0066,33,One year,DSL,No,Yes,2023-09-05,No
CUST0067,50,Two year,DSL,No,No,2024-03-21,Yes
CUST0068,64,One year,Fiber optic,Yes,No,2023-05-29,No
CUST0069,13,Two year,DSL,No,Yes,2022-07-04,No
CUST0070,70,Two year,Fiber optic,No,Yes,2024-09-13,No
CUST0071,10,Month-to-month,Fiber optic,No,No,2023-06-26,Yes
CUST0072,49,One year,DSL,Yes,No,2025-02-23,No
CUST0073,39,One year,DSL,Yes,No,2023-04-26,No
CUST0074,20,Two year,Fiber optic,No,No,2024-06-27,No
CUST0075,46,Month-to-month,,No,No,2022-07-07,Yes
CUST0076,43,Month-to-month,Fiber optic,Yes,Yes,2023-04-23,Yes
CUST0077,17,Month-to-month,DSL,Yes,Yes,2023-05-03,No
CUST0078,15,One year,Fiber optic,Yes,No,2022-03-30,No
CUST0079,4,Month-to-month,DSL,Yes,No,2022-06-15,Yes
CUST0080,68,Month-to-month,DSL,Yes,Yes,2024-04-27,Yes
CUST0081,41,One year,DSL,No,Yes,2024-06-03,Yes
CUST0082,72,Month-to-month,DSL,No,Yes,2023-12-22,Yes
CUST0083,45,One year,Fiber optic,Yes,No,2025-02-14,Yes
CUST0084,35,One year,DSL,Yes,Yes,2024-03-31,Yes
CUST0085,54,Month-to-month,DSL,No,Yes,2022-04-12,Yes
CUST0086,35,Month-to-month,DSL,Yes,No,2024-12-15,No
CUST0087,27,Month-to-month,DSL,No,No,2024-05-31,Yes
CUST0088,51,Two year,DSL,Yes,No,2024-05-05,Yes
CUST0089,47,Month-to-month,DSL,No,Yes,2023-11-27,Yes
CUST0090,66,Month-to-month,DSL,Yes,Yes,2022-12-22,No
CUST0091,58,One year,Fiber optic,No,No,2024-06-24,No
CUST0092,60,Month-to-month,Fiber optic,Yes,Yes,2024-08-05,Yes
CUST0093,25,Month-to-month,DSL,Yes,No,2023-12-05,No
CUST0094,57,Two year,Fiber optic,No,No,2023-11-24,No
CUST0095,13,Month-to-month,DSL,Yes,No,2023-12-18,Yes
CUST0096,72,Month-to-month,Fiber optic,Yes,No,2023-09-25,Yes
CUST0097,18,Month-to-month,Fiber optic,Yes,No,2024-02-11,Yes
CUST0098,57,Month-to-month,Fiber optic,No,No,2023-04-25,Yes
CUST0099,57,Month-to-month,DSL,No,Yes,2022-10-11,No
CUST0100,67,Two year,Fiber optic,No,No,2024-06-14,Yes
CUST0101,7,Month-to-month,DSL,Yes,No,2022-07-22,Yes
CUST0102,61,One year,Fiber optic,No,Yes,2023-03-18,No
